Sample,Location,Borehole,Depth,Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (?a),Moisture content (%),Soil Classification,,,,,,,,,,,,
93,,,1.5,43.00,7.00,50.00,0.00,0.00,0.00,0.06,#DIV/0!,#DIV/0!,1444.6,1714.05,23.76,,,,,,,,,,,,,
94,,,2.0,28.00,17.00,55.00,0.00,0.00,0.00,0.18,#DIV/0!,#DIV/0!,1189.7,1994.47,29.22,,,,,,,,,,,,,
95,,,2.5,28.00,16.00,56.00,0.00,0.00,0.00,0.16,#DIV/0!,#DIV/0!,1054.4,1538.49,23.29,,,,,,,,,,,,,
96,,,3.0,20.00,27.00,53.00,0.00,0.00,0.01,0.21,#DIV/0!,#DIV/0!,983,1830.37,21.36,,,,,,,,,,,,,
97,PUNCAK PERDANA - 2,BH 17,0.5,44.00,4.00,52.00,0.00,0.00,0.00,0.08,#DIV/0!,#DIV/0!,879,2483.99,17.54,,,,,,,,,,,,,
98,,,1.0,40.00,10.00,50.00,0.00,0.00,0.00,0.08,#DIV/0!,#DIV/0!,1048.1,2012.40,26.22,,,,,,,,,,,,,
99,,,1.5,32.00,16.00,52.00,0.00,0.00,0.00,0.08,#DIV/0!,#DIV/0!,1069.9,1368.26,22.73,,,,,,,,,,,,,
100,,,2.0,25.00,8.00,67.00,0.00,0.00,0.01,0.38,#DIV/0!,#DIV/0!,1044.4,2020.62,24.50,,,,,,,,,,,,,
101,,,2.5,23.00,10.00,67.00,0.00,0.00,0.01,0.30,#DIV/0!,#DIV/0!,1010.8,2212.13,26.86,,,,,,,,,,,,,
102,,,3.0,20.00,19.00,61.00,0.00,0.00,0.01,0.18,#DIV/0!,#DIV/0!,980.8,1521.14,19.44,,,,,,,,,,,,,
103,HUTAN MELINTANG - 1,BH 18,0.5,48.00,25.88,26.12,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,43.59,162.49,39.22,,,,,,,,,,,,,
104,,,1.0,55.00,28.52,16.48,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,26.61,81.37,89.74,,,,,,,,,,,,,
105,,,1.5,44.00,45.00,11.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,26.16,11.94,122.64,,,,,,,,,,,,,
106,,,2.0,32.00,17.00,51.00,0.00,0.00,0.00,0.07,#DIV/0!,#DIV/0!,31.44,7.10,158.46,,,,,,,,,,,,,
107,,,2.5,48.00,32.00,20.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,37.93,5.31,147.64,,,,,,,,,,,,,
108,,,3.0,49.00,39.00,12.00,0.00,0.00,0.01,0.01,#DIV/0!,#DIV/0!,44.48,4.34,134.30,,,,,,,,,,,,,
109,HUTAN MELINTANG - 2,BH 19,0.5,53.00,34.00,13.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,9.58,166.40,63.41,,,,,,,,,,,,,
110,,,1.0,53.00,32.00,15.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,15.72,69.11,72.75,,,,,,,,,,,,,
111,,,1.5,59.00,29.00,12.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,19.96,11.91,126.55,,,,,,,,,,,,,
112,,,2.0,57.00,35.00,8.00,0.00,0.00,0.01,0.00,#DIV/0!,#DIV/0!,22.58,7.27,142.88,,,,,,,,,,,,,
113,,,2.5,54.00,33.00,13.00,0.00,0.00,0.01,0.00,#DIV/0!,#DIV/0!,24.11,2.60,132.66,,,,,,,,,,,,,
114,,,3.0,53.00,36.00,11.00,0.00,0.00,0.01,0.00,#DIV/0!,#DIV/0!,24.91,4.79,141.80,,,,,,,,,,,,,
115,KLANG - 1,BH 20,1.0,17.00,4.00,79.00,0.00,0.00,0.17,0.60,#DIV/0!,#DIV/0!,126.00,383.46,41.70,,,,,,,,,,,,,
116,,,2.5,52.00,33.00,15.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,17.85,12.77,137.47,,,,,,,,,,,,,
117,,,3.0,56.00,29.00,15.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,9.15,10.22,130.32,,,,,,,,,,,,,
118,KLANG - 2,BH 21,1.0,30.00,10.00,60.00,0.00,0.00,0.00,0.14,#DIV/0!,#DIV/0!,83.36,248.02,29.31,,,,,,,,,,,,,
119,,,1.5,48.00,21.00,31.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,43.00,51.57,162.28,,,,,,,,,,,,,
120,,,2.0,54.00,23.00,23.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,20.36,22.36,129.61,,,,,,,,,,,,,
121,,,2.5,57.00,28.00,15.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,9.42,10.43,139.79,,,,,,,,,,,,,
122,,,3.0,50.00,25.00,25.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,4.48,7.74,146.01,,,,,,,,,,,,,
123,SUNGKAI - 1,BH 22,0.5,7.23,32.12,60.65,0.00,0.004,0.025,0.135,33.75,1.16,154.00,77.13,14.52,,,,,,,,,,,,,
124,,,1.0,22.00,26.00,52.00,0.00,0.000,0.006,0.058,#DIV/0!,#DIV/0!,167.90,448.49,29.96,,,,,,,,,,,,,
125,,,1.5,44.00,45.00,11.00,0.00,0.002,0.040,0.130,65.00,6.15,194.50,453.49,38.64,,,,,,,,,,,,,
126,,,2.0,3.00,5.00,92.00,0.00,0.056,0.100,0.190,3.39,0.94,214.90,4738.38,39.20,,,,,,,,,,,,,
127,,,2.5,2.00,3.00,95.00,0.00,0.066,0.175,0.290,4.39,1.60,229.80,569.62,29.61,,,,,,,,,,,,,
128,,,3.0,0.00,0.00,100.00,0.00,0.200,0.290,0.390,1.95,1.08,240.90,1328.42,19.00,,,,,,,,,,,,,
129,SUNGKAI - 2,BH 23,0.5,18.00,44.00,38.00,0.00,0.00,0.01,0.04,#DIV/0!,#DIV/0!,386.30,489.55,24.96,,,,,,,,,,,,,
130,,,1.0,15.00,23.00,62.00,0.00,0.00,0.02,0.08,#DIV/0!,#DIV/0!,456.80,803.87,33.32,,,,,,,,,,,,,
131,,,1.5,22.00,26.00,52.00,0.00,0.00,0.01,0.06,#DIV/0!,#DIV/0!,518.60,853.31,32.36,,,,,,,,,,,,,
132,,,2.0,14.00,33.00,53.00,0.00,0.00,0.01,0.06,#DIV/0!,#DIV/0!,559.30,493.31,44.89,,,,,,,,,,,,,
133,,,2.5,7.00,15.00,76.00,2.00,0.00,0.06,0.17,#DIV/0!,#DIV/0!,586.30,93.64,39.16,,,,,,,,,,,,,
134,,,3.0,0.80,0.00,99.20,0.00,0.20,0.31,0.45,2.25,1.07,605.10,3488.91,8.26,,,,,,,,,,,,,
135,KOTA KUALA MUDA -1,BH 24,0.5,15.00,29.00,56.00,0.00,0.001,0.014,0.700,583.33,0.23,11.88,5.48,24.13,,,,,,,,,,,,,
136,,,1.0,15.00,37.00,48.00,0.00,0.002,0.003,0.058,32.22,0.09,18.89,1.83,71.93,,,,,,,,,,,,,
137,,,1.5,30.00,55.00,15.00,0.00,0.002,0.040,0.130,86.67,8.21,27.27,0.84,90.87,,,,,,,,,,,,,
138,,,2.0,8.00,70.00,22.00,0.00,0.002,0.004,0.017,7.08,0.39,35.68,0.72,72.70,,,,,,,,,,,,,
139,,,2.5,5.00,73.00,22.00,0.00,0.003,0.004,0.014,4.67,0.40,43.92,0.54,110.78,,,,,,,,,,,,,
140,,,3.0,2.00,78.00,20.00,0.00,0.004,0.005,0.013,3.25,0.48,51.94,0.50,38.01,,,,,,,,,,,,,
141,KOTA KUALA MUDA -2,BH 25,0.5,20.00,25.00,55.00,0.00,0.00,0.01,0.50,#DIV/0!,#DIV/0!,34.10,4.59,22.16,,,,,,,,,,,,,
142,,,1.0,9.00,51.00,40.00,0.00,0.00,0.01,0.01,2.50,2.50,46.84,1.11,82.10,,,,,,,,,,,,,
143,,,1.5,21.00,61.00,18.00,0.00,0.00,0.00,0.01,3.53,0.52,48.37,0.57,107.52,,,,,,,,,,,,,
144,,,2.0,52.00,36.00,12.00,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,44.16,0.46,84.14,,,,,,,,,,,,,
145,,,2.5,45.00,33.00,22.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,37.99,0.57,55.91,,,,,,,,,,,,,
146,,,3.0,35.00,31.00,34.00,0.00,0.00,0.00,0.03,#DIV/0!,#DIV/0!,31.75,0.57,96.77,,,,,,,,,,,,,
147,CYBERJAYA -1,,1.0,32.00,5.00,63.00,0.00,0.000,0.001,0.200,#DIV/0!,#DIV/0!,7.25,206.44,24.15,,,,,,,,,,,,,
148,,,2.5,34.00,5.00,61.00,0.00,0.000,0.001,0.165,#DIV/0!,#DIV/0!,14.60,61.42,36.15,,,,,,,,,,,,,
149,,,3.0,14.00,6.00,80.00,0.00,0.000,0.055,0.550,#DIV/0!,#DIV/0!,110.00,273.39,490.06,,,,,,,,,,,,,
150,CYBERJAYA -2,BH 27,0.5,18.00,12.00,70.00,0.00,0.00,0.03,0.40,#DIV/0!,#DIV/0!,130.00,64.17,23.23,,,,,,,,,,,,,
151,,,1.0,5.00,3.00,92.00,0.00,0.06,0.29,0.46,7.63,3.06,120.00,249.24,221.91,,,,,,,,,,,,,
152,,,3.0,7.00,7.00,86.00,0.00,0.01,0.18,0.33,33.00,9.82,14.00,60.18,17.55,,,,,,,,,,,,,
153,BANDAR PUTERI JAYA - 1,BH 28,0.5,10.00,85.00,5.00,0.00,0.002,0.004,0.005,2.50,1.60,750.00,1133.26,33.39,,,,,,,,,,,,,
154,,,1.0,10.00,85.00,5.00,0.00,0.002,0.004,0.006,3.00,1.33,800.00,3957.42,30.50,,,,,,,,,,,,,
155,,,1.5,10.00,85.00,5.00,0.00,0.002,0.004,0.006,3.00,1.33,830.00,4660.14,32.12,,,,,,,,,,,,,
156,,,2.0,10.00,85.00,5.00,0.00,0.002,0.003,0.005,2.50,0.90,850.00,4335.96,23.61,,,,,,,,,,,,,
157,,,2.5,12.00,83.00,5.00,0.00,0.002,0.003,0.005,2.50,0.90,900.00,777.09,30.59,,,,,,,,,,,,,
158,,,3.0,10.00,84.00,6.00,0.00,0.002,0.004,0.006,3.00,1.33,920.00,2927.41,25.76,,,,,,,,,,,,,
159,BANDAR PUTERI JAYA - 2,BH 29,0.5,10.00,85.00,5.00,0.00,0.002,0.00,0.01,3.00,1.33,818.00,1910.48,36.11,,,,,,,,,,,,,
160,,,1.0,10.00,82.00,8.00,0.00,0.002,0.00,0.01,3.00,1.33,1146.00,228.94,33.18,,,,,,,,,,,,,
161,,,1.5,13.00,82.00,5.00,0.00,0.002,0.00,0.01,2.50,0.90,1600.00,6560.99,33.90,,,,,,,,,,,,,
162,,,2.0,11.00,84.00,5.00,0.00,0.002,0.00,0.01,2.50,0.90,2200.00,3196.38,32.69,,,,,,,,,,,,,
163,MELAKA - 1,BH 30,0.5,14.00,16.00,70.00,0.00,0.001,0.050,0.900,900.00,2.78,159.00,155.02,22.40,,,,,,,,,,,,,
164,,,1.0,17.00,13.00,70.00,0.00,0.000,0.050,1.100,#DIV/0!,#DIV/0!,118.90,15.18,74.11,,,,,,,,,,,,,
165,,,1.5,42.00,42.00,16.00,0.00,0.000,0.000,0.007,#DIV/0!,#DIV/0!,134.80,8.21,60.77,,,,,,,,,,,,,
166,,,2.0,27.00,33.00,40.00,0.00,0.000,0.003,0.005,#DIV/0!,#DIV/0!,145.80,4.40,90.68,,,,,,,,,,,,,
167,,,2.5,40.00,43.00,17.00,0.00,0.000,0.000,0.008,#DIV/0!,#DIV/0!,152.90,2.50,96.82,,,,,,,,,,,,,
168,,,3.0,55.00,35.00,10.00,0.00,0.000,0.000,0.003,#DIV/0!,#DIV/0!,157.80,2.02,100.43,,,,,,,,,,,,,
169,MELAKA - 2,BH 31,0.5,25.00,25.00,50.00,0.00,0.00,0.00,0.30,#DIV/0!,#DIV/0!,19.10,17.57,11.55,,,,,,,,,,,,,
170,,,1.0,31.00,27.00,42.00,0.00,0.00,0.00,0.06,#DIV/0!,#DIV/0!,24.76,15.94,24.31,,,,,,,,,,,,,
171,,,1.5,48.00,34.00,18.00,0.00,0.00,0.00,0.01,#DIV/0!,#DIV/0!,26.07,4.30,66.59,,,,,,,,,,,,,
